Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Returned refugees,Total Population
1999,Guinea,Togo,2,0,2
1999,Gambia,Ethiopia,4,0,4
1999,Gambia,Guinea-Bissau,26,234,260
1999,Gambia,Iraq,1,0,1
1999,Gambia,Liberia,50,0,50
1999,Gambia,Nigeria,2,0,2
1999,Gambia,Sudan,1,0,1
1999,Gambia,Senegal,5071,93,5164
1999,Gambia,Sierra Leone,12044,0,12044
1999,Gambia,Somalia,20,0,20
1999,Guinea-Bissau,Guinea-Bissau,0,0,215000
1999,Guinea-Bissau,Liberia,233,0,233
1999,Guinea-Bissau,Senegal,6243,332,6575
1999,Guinea-Bissau,Sierra Leone,595,0,595
1999,Guinea-Bissau,Various/Unknown,49,0,49
1999,Greece,Afghanistan,57,0,57
1999,Greece,Ethiopia,228,0,228
1999,Greece,Iran (Islamic Rep. of),217,1,218
1999,Greece,Iraq,417,0,417
1999,Greece,Turkey,2274,0,2274
1999,Greece,Various/Unknown,3090,2,3092
1999,Guatemala,Angola,1,0,1
1999,Guatemala,China,3,0,3
1999,Guatemala,Colombia,1,0,1
1999,Guatemala,Cuba,9,0,9
1999,Guatemala,Dominican Rep.,1,0,1
1999,Guatemala,Honduras,7,0,7
1999,Guatemala,Haiti,3,0,3
1999,Guatemala,Nigeria,1,0,1
1999,Guatemala,Nicaragua,533,61,594
1999,Guatemala,Peru,6,1,7
1999,Guatemala,Sudan,1,0,1
1999,Guatemala,El Salvador,166,21,187
1999,"China, Hong Kong SAR",Algeria,0,1,1
1999,"China, Hong Kong SAR",Guinea-Bissau,0,1,1
1999,"China, Hong Kong SAR",Indonesia,0,5,5
1999,"China, Hong Kong SAR",Sri Lanka,1,0,1
1999,"China, Hong Kong SAR",Pakistan,4,0,4
1999,"China, Hong Kong SAR",Sierra Leone,1,0,1
1999,"China, Hong Kong SAR",Viet Nam,968,71,1039
1999,"China, Hong Kong SAR",Various/Unknown,0,0,1
1999,Honduras,Cuba,1,0,1
1999,Honduras,Haiti,8,1,9
1999,Croatia,Bosnia and Herzegovina,24960,1900,26860
1999,Croatia,Croatia,0,0,76004
1999,Croatia,Serbia and Kosovo (S/RES/1244 (1999)),3414,906,4320
1999,Haiti,Honduras,0,1,1
1999,Hungary,Afghanistan,601,0,601
1999,Hungary,Angola,5,0,5
1999,Hungary,Albania,9,0,9
1999,Hungary,Armenia,10,0,10
1999,Hungary,Burkina Faso,1,0,1
1999,Hungary,Bangladesh,3,0,3
1999,Hungary,Bosnia and Herzegovina,7,51,58
1999,Hungary,China,2,0,2
1999,Hungary,Cameroon,48,0,48
1999,Hungary,Dem. Rep. of the Congo,14,0,14
1999,Hungary,Congo,12,0,12
1999,Hungary,Cuba,2,0,2
1999,Hungary,Algeria,14,0,14
1999,Hungary,Ethiopia,9,0,9
1999,Hungary,Georgia,33,0,33
1999,Hungary,Ghana,8,0,8
1999,Hungary,Guinea,3,0,3
1999,Hungary,Croatia,34,0,34
1999,Hungary,Iran (Islamic Rep. of),11,0,11
1999,Hungary,Iraq,159,0,159
1999,Hungary,Kuwait,2,0,2
1999,Hungary,Lebanon,2,0,2
1999,Hungary,Liberia,7,0,7
1999,Hungary,Rep. of Moldova,2,0,2
1999,Hungary,The former Yugoslav Republic of Macedonia,3,0,3
1999,Hungary,Nigeria,29,0,29
1999,Hungary,Pakistan,4,0,4
1999,Hungary,Palestinian,2,0,2
1999,Hungary,Romania,1316,0,1316
1999,Hungary,Russian Federation,12,0,12
1999,Hungary,Sudan,18,0,18
1999,Hungary,Senegal,1,0,1
1999,Hungary,Sierra Leone,24,0,24
1999,Hungary,Somalia,30,0,30
1999,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),2520,404,2924
1999,Hungary,Syrian Arab Rep.,2,0,2
1999,Hungary,Togo,1,0,1
1999,Hungary,Turkey,4,0,4
1999,Hungary,Uganda,1,0,1
1999,Hungary,Ukraine,7,0,7
1999,Hungary,Stateless,11,0,11
1999,Hungary,Various/Unknown,7,17,24
1999,Indonesia,Afghanistan,12,0,12
1999,Indonesia,Angola,1,0,1
1999,Indonesia,Algeria,2,0,2
1999,Indonesia,Ethiopia,1,0,1
1999,Indonesia,Iran (Islamic Rep. of),2,0,2
1999,Indonesia,Iraq,2,0,2
1999,Indonesia,Sri Lanka,2,0,2
1999,Indonesia,Palestinian,1,0,1
1999,Indonesia,Russian Federation,1,0,1
1999,Indonesia,Somalia,8,0,8
1999,Indonesia,Timor-Leste,162472,127528,290000
1999,Indonesia,Viet Nam,2,0,4
1999,India,Afghanistan,14473,62,14535
1999,India,China,98001,0,98001
1999,India,Congo,1,0,1
1999,India,Ethiopia,5,0,5
1999,India,Iran (Islamic Rep. of),171,1,172
1999,India,Iraq,34,0,34
1999,India,Israel,5,0,5
1999,India,Lao People's Dem. Rep.,3,0,3
1999,India,Liberia,5,0,5
1999,India,Sri Lanka,66431,95,66526
1999,India,Myanmar,696,0,696
1999,India,Rwanda,1,0,1
1999,India,Sudan,55,0,55
1999,India,Somalia,142,0,142
1999,India,Serbia and Kosovo (S/RES/1244 (1999)),8,0,8
1999,Ireland,Afghanistan,5,0,5
1999,Ireland,Angola,18,0,18
1999,Ireland,Albania,4,0,4
1999,Ireland,Azerbaijan,3,0,3
1999,Ireland,Burundi,9,0,9
1999,Ireland,Bulgaria,1,0,1
1999,Ireland,Bosnia and Herzegovina,650,9,659
1999,Ireland,Cameroon,1,0,1
1999,Ireland,Dem. Rep. of the Congo,83,0,83
1999,Ireland,Cuba,4,0,4
1999,Ireland,Algeria,78,0,78
1999,Ireland,Ethiopia,4,0,4
1999,Ireland,Croatia,1,0,1
1999,Ireland,Iran (Islamic Rep. of),4,0,4
1999,Ireland,Iraq,59,0,59
1999,Ireland,Jordan,2,0,2
1999,Ireland,Kazakhstan,3,0,3
1999,Ireland,Lebanon,1,0,1
1999,Ireland,Liberia,5,0,5
1999,Ireland,Libya,50,0,50
1999,Ireland,Sri Lanka,1,0,1
1999,Ireland,Nigeria,17,0,17
1999,Ireland,Poland,2,0,2
1999,Ireland,Palestinian,5,0,5
1999,Ireland,Romania,81,0,81
1999,Ireland,Russian Federation,19,0,19
1999,Ireland,Rwanda,7,0,7
1999,Ireland,Saudi Arabia,1,0,1
1999,Ireland,Sudan,13,0,13
1999,Ireland,Senegal,1,0,1
1999,Ireland,Sierra Leone,3,0,3
1999,Ireland,Somalia,141,0,141
1999,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),1069,202,1271
1999,Ireland,Syrian Arab Rep.,2,0,2
1999,Ireland,Togo,1,0,1
1999,Ireland,Turkey,1,0,1
1999,Ireland,Ukraine,8,0,8
1999,Ireland,Uzbekistan,2,0,2
1999,Ireland,Viet Nam,4,0,4
1999,Ireland,Various/Unknown,472,0,472
1999,Iran (Islamic Rep. of),Afghanistan,1325724,161094,1486818
1999,Iran (Islamic Rep. of),Iraq,509964,20593,530557
1999,Iraq,Eritrea,572,2,574
1999,Iraq,Iran (Islamic Rep. of),26515,0,26515
1999,Iraq,Palestinian,90000,0,90000
1999,Iraq,Sudan,220,0,220
1999,Iraq,Somalia,313,0,313
1999,Iraq,Turkey,11193,108,11301
1999,Iraq,Various/Unknown,100,0,100
1999,Iceland,Bangladesh,5,0,5
1999,Iceland,Bulgaria,5,0,5
1999,Iceland,Belarus,1,0,1
1999,Iceland,Algeria,2,0,2
1999,Iceland,Ghana,1,0,1
1999,Iceland,Gambia,1,0,1
1999,Iceland,Iran (Islamic Rep. of),2,0,2
1999,Iceland,Iraq,9,0,9
1999,Iceland,Lebanon,1,0,1
1999,Iceland,The former Yugoslav Republic of Macedonia,1,0,1
1999,Iceland,Pakistan,5,0,5
1999,Iceland,Romania,3,0,3
1999,Iceland,Russian Federation,1,0,1
1999,Iceland,Serbia and Kosovo (S/RES/1244 (1999)),151,31,182
1999,Iceland,Tunisia,1,0,1
1999,Iceland,Turkey,1,0,1
1999,Iceland,Ukraine,3,0,3
1999,Iceland,Viet Nam,60,0,60
1999,Iceland,Stateless,1,0,1
1999,Israel,Armenia,1,0,1
1999,Israel,Congo,1,0,1
1999,Israel,Colombia,1,0,1
1999,Israel,Ethiopia,13,0,13
1999,Israel,Iraq,9,0,9
1999,Israel,Sudan,2,0,2
1999,Israel,Sierra Leone,96,0,96
1999,Israel,Serbia and Kosovo (S/RES/1244 (1999)),1,223,224
1999,Israel,Syrian Arab Rep.,4,0,4
1999,Italy,Afghanistan,37,0,37
1999,Italy,Angola,52,0,52
1999,Italy,Albania,1404,0,1404
1999,Italy,Armenia,18,0,18
1999,Italy,Azerbaijan,2,0,2
1999,Italy,Burundi,41,0,41
1999,Italy,Bangladesh,5,0,5
1999,Italy,Bulgaria,23,0,23
1999,Italy,Bosnia and Herzegovina,9,59,68
1999,Italy,Belarus,1,0,1
1999,Italy,Central African Rep.,1,0,1
1999,Italy,China,9,0,9
1999,Italy,Côte d'Ivoire,2,0,2
1999,Italy,Cameroon,8,0,8
1999,Italy,Dem. Rep. of the Congo,165,0,165
1999,Italy,Congo,48,0,48
1999,Italy,Colombia,11,0,11
1999,Italy,Cuba,20,0,20
1999,Italy,Algeria,51,0,51
1999,Italy,Ecuador,1,0,1
1999,Italy,Egypt,8,0,8
1999,Italy,Eritrea,3,0,3
1999,Italy,Ethiopia,205,0,205
1999,Italy,Georgia,15,0,15
1999,Italy,Ghana,1,0,1
1999,Italy,Guinea,2,0,2
1999,Italy,Croatia,2,0,2
1999,Italy,India,2,0,2
1999,Italy,Iran (Islamic Rep. of),376,0,376
1999,Italy,Iraq,773,0,773
1999,Italy,Jordan,1,0,1
1999,Italy,Kenya,2,0,2
1999,Italy,Cambodia,6,0,6
1999,Italy,Lebanon,27,0,27
1999,Italy,Liberia,12,0,12
1999,Italy,Libya,3,0,3
1999,Italy,Sri Lanka,24,0,24
1999,Italy,Morocco,4,0,4
1999,Italy,The former Yugoslav Republic of Macedonia,3,0,3
1999,Italy,Myanmar,2,0,2
1999,Italy,Nigeria,11,0,11
1999,Italy,Pakistan,37,0,37
1999,Italy,Peru,5,0,5
1999,Italy,Papua New Guinea,2,0,2
1999,Italy,Poland,1,0,1
1999,Italy,Palestinian,6,0,6
1999,Italy,Romania,291,0,291
1999,Italy,Russian Federation,24,0,24
1999,Italy,Rwanda,161,0,161
1999,Italy,Sudan,138,0,138
1999,Italy,Senegal,1,0,1
1999,Italy,Sierra Leone,15,0,15
1999,Italy,El Salvador,1,0,1
1999,Italy,Somalia,195,0,195
1999,Italy,Serbia and Kosovo (S/RES/1244 (1999)),1101,3870,4971
1999,Italy,Syrian Arab Rep.,21,0,21
1999,Italy,Chad,1,0,1
1999,Italy,Togo,3,0,3
1999,Italy,Tajikistan,2,0,2
1999,Italy,Tunisia,35,0,35
1999,Italy,Turkey,533,0,533
1999,Italy,Ukraine,6,0,6
1999,Italy,Viet Nam,15,0,15
1999,Italy,Stateless,7,0,7
1999,Italy,Various/Unknown,31,0,31
1999,Italy,Yemen,1,0,1
1999,Italy,South Africa,1,0,1
1999,Jamaica,Cuba,17,0,17
1999,Jamaica,Haiti,9,0,9
1999,Jamaica,Liberia,1,0,1
1999,Jamaica,Sri Lanka,1,0,1
1999,Jamaica,Nigeria,2,0,2
1999,Jamaica,Sierra Leone,7,0,7
1999,Jordan,Bosnia and Herzegovina,23,10,33
1999,Jordan,Dem. Rep. of the Congo,1,0,1
1999,Jordan,Ethiopia,2,0,2
1999,Jordan,Iraq,887,0,887
1999,Jordan,Libya,4,0,4
1999,Jordan,Russian Federation,27,4,31
1999,Jordan,Sudan,29,0,29
1999,Jordan,Somalia,31,0,31
1999,Jordan,Syrian Arab Rep.,1,0,1
1999,Jordan,Stateless,6,0,6
1999,Jordan,Yemen,1,0,1
1999,Japan,Afghanistan,11,1,12
1999,Japan,China,2,0,2
1999,Japan,Ethiopia,6,0,6
1999,Japan,Iran (Islamic Rep. of),13,1,14
1999,Japan,Iraq,3,0,3
1999,Japan,Cambodia,496,0,496
1999,Japan,Lao People's Dem. Rep.,515,0,515
1999,Japan,Myanmar,16,0,16
1999,Japan,Pakistan,2,0,2
1999,Japan,Sudan,6,0,6
1999,Japan,Turkey,4,0,4
1999,Japan,Viet Nam,3135,0,3135
1999,Japan,Stateless,1,0,1
1999,Japan,Various/Unknown,25,0,25
1999,Kazakhstan,Afghanistan,2296,0,2296
1999,Kazakhstan,Azerbaijan,20,0,20
1999,Kazakhstan,China,23,0,23
1999,Kazakhstan,Algeria,3,0,3
1999,Kazakhstan,Georgia,10,0,10
1999,Kazakhstan,India,6,0,6
1999,Kazakhstan,Iraq,17,0,17
1999,Kazakhstan,Pakistan,9,0,9
1999,Kazakhstan,Russian Federation,7043,14,7057
1999,Kazakhstan,Rwanda,5,0,5
1999,Kazakhstan,Sudan,1,0,1
1999,Kazakhstan,Sierra Leone,4,0,4
1999,Kazakhstan,Syrian Arab Rep.,3,0,3
1999,Kazakhstan,Tajikistan,5355,492,5847
1999,Kenya,Burundi,205,16,221
1999,Kenya,Dem. Rep. of the Congo,251,6,257
1999,Kenya,Eritrea,90,1,91
1999,Kenya,Ethiopia,8191,1466,9657
1999,Kenya,Liberia,8,1,9
1999,Kenya,Rwanda,2858,26,2884
1999,Kenya,Sudan,64254,90,64344
1999,Kenya,Somalia,141088,34,141122
1999,Kenya,Uganda,5947,236,6183
1999,Kenya,Stateless,295,0,295
1999,Kenya,Various/Unknown,509,10,519
1999,Kyrgyzstan,Afghanistan,708,0,708
1999,Kyrgyzstan,Kyrgyzstan,0,0,5569
1999,Kyrgyzstan,Tajikistan,10141,1862,12003
1999,Cambodia,Afghanistan,5,0,5
1999,Cambodia,China,3,0,3
1999,Cambodia,Algeria,2,0,2
1999,Cambodia,Lao People's Dem. Rep.,2,0,2
1999,Cambodia,Sri Lanka,4,1,5
1999,Cambodia,Rwanda,1,0,1
1999,Cambodia,Sudan,1,0,1
1999,Cambodia,Viet Nam,3,0,3
1999,Rep. of Korea,Afghanistan,1,0,1
1999,Rep. of Korea,Algeria,4,0,4
1999,Rep. of Korea,Iran (Islamic Rep. of),2,0,2
1999,Kuwait,Afghanistan,52,0,52
1999,Kuwait,Iraq,1816,0,14816
1999,Kuwait,Palestinian,2197,0,8197
1999,Kuwait,Sudan,8,0,8
1999,Kuwait,Somalia,162,0,2162
1999,Kuwait,Stateless,1,0,117148
1999,Kuwait,Various/Unknown,98,0,98
1999,Lebanon,Afghanistan,550,0,550
1999,Lebanon,Algeria,76,0,76
1999,Lebanon,Iraq,2522,0,2522
1999,Lebanon,Jordan,22,0,22
1999,Lebanon,Sudan,552,0,552
1999,Lebanon,Sierra Leone,24,0,24
1999,Lebanon,Somalia,159,1,160
1999,Lebanon,Various/Unknown,267,2,269
1999,Liberia,Cyprus,0,3,3
1999,Liberia,Algeria,1,0,1
1999,Liberia,Ethiopia,4,0,4
1999,Liberia,Ghana,2,0,2
1999,Liberia,Equatorial Guinea,1,0,1
1999,Liberia,Iraq,2,0,2
1999,Liberia,Lebanon,12,0,12
1999,Liberia,Liberia,0,0,137945
1999,Liberia,Palestinian,5,0,5
1999,Liberia,Sudan,15,0,15
1999,Liberia,Sierra Leone,96273,3500,99773
1999,Liberia,Uganda,2,0,2
1999,Libya,Iraq,19,0,19
1999,Libya,Palestinian,7602,0,7602
1999,Libya,Rwanda,2,0,2
1999,Libya,Sudan,10,0,10
1999,Libya,Sierra Leone,2,0,2
1999,Libya,Somalia,2891,122,3013
1999,Libya,Various/Unknown,9,0,9
1999,Sri Lanka,Afghanistan,9,0,9
1999,Sri Lanka,Iraq,9,0,9
1999,Sri Lanka,Lebanon,1,0,1
1999,Sri Lanka,Sri Lanka,0,0,612518
1999,Sri Lanka,Sudan,1,0,1
1999,Sri Lanka,Somalia,1,0,1
1999,Lesotho,Various/Unknown,1,0,1
1999,Lithuania,Afghanistan,28,0,28
1999,Lithuania,Georgia,2,0,2
1999,Lithuania,Iran (Islamic Rep. of),5,0,5
1999,Lithuania,Iraq,5,0,5
1999,Lithuania,Nigeria,1,0,1
1999,Lithuania,Somalia,1,0,1
1999,Lithuania,Stateless,2,0,2
1999,Luxembourg,Serbia and Kosovo (S/RES/1244 (1999)),0,194,194
1999,Luxembourg,Various/Unknown,700,0,700
1999,Latvia,Egypt,1,0,1
1999,Latvia,Iraq,1,0,1
1999,Latvia,Pakistan,3,0,3
1999,Latvia,Sudan,1,0,1
1999,Latvia,Various/Unknown,0,0,3
1999,Morocco,Various/Unknown,901,0,901
1999,Rep. of Moldova,Azerbaijan,4,0,4
1999,Rep. of Moldova,Iraq,4,0,4
1999,Rep. of Moldova,Rep. of Moldova,0,0,8080
1999,Madagascar,Various/Unknown,28,0,28
1999,Mexico,Afghanistan,9,0,9
1999,Mexico,Angola,7,0,7
1999,Mexico,Albania,7,0,7
1999,Mexico,Argentina,4,0,4
1999,Mexico,Armenia,3,0,3
1999,Mexico,Burundi,1,0,1
1999,Mexico,Bosnia and Herzegovina,1,0,1
1999,Mexico,Bolivia (Plurinational State of),4,0,4
1999,Mexico,Chile,19,0,19
1999,Mexico,China,3,0,3
1999,Mexico,Dem. Rep. of the Congo,2,0,2
1999,Mexico,Congo,22,0,22
1999,Mexico,Colombia,53,0,53
1999,Mexico,Cuba,28,0,28
1999,Mexico,Algeria,1,0,1
1999,Mexico,Ecuador,5,0,5
1999,Mexico,Ethiopia,1,0,1
1999,Mexico,Guatemala,22116,1999,24115
1999,Mexico,Honduras,30,0,30
1999,Mexico,Haiti,18,0,18
1999,Mexico,Iran (Islamic Rep. of),19,0,19
1999,Mexico,Iraq,15,0,15
1999,Mexico,Jordan,1,0,1
1999,Mexico,Kenya,1,0,1
1999,Mexico,Lebanon,2,0,2
1999,Mexico,Liberia,7,0,7
1999,Mexico,Sri Lanka,4,0,4
1999,Mexico,Nigeria,1,0,1
1999,Mexico,Nicaragua,27,0,27
1999,Mexico,Peru,39,0,39
1999,Mexico,Poland,5,0,5
1999,Mexico,Palestinian,3,0,3
1999,Mexico,Russian Federation,6,0,6
1999,Mexico,Rwanda,1,0,1
1999,Mexico,Sudan,1,0,1
1999,Mexico,Sierra Leone,10,0,10
1999,Mexico,El Salvador,1995,0,1995
1999,Mexico,Somalia,23,0,23
1999,Mexico,Serbia and Kosovo (S/RES/1244 (1999)),5,0,5
1999,Mexico,Tajikistan,1,0,1
1999,Mexico,Ukraine,6,0,6
1999,Mexico,Venezuela (Bolivarian Republic of),1,0,1
1999,Mexico,Yemen,4,0,4
1999,The former Yugoslav Republic of Macedonia,Bosnia and Herzegovina,200,380,580
1999,The former Yugoslav Republic of Macedonia,Serbia and Kosovo (S/RES/1244 (1999)),21000,233400,254400
1999,Mali,Burundi,37,1,38
1999,Mali,Cameroon,20,0,20
1999,Mali,Dem. Rep. of the Congo,70,0,70
1999,Mali,Congo,44,1,45
1999,Mali,Liberia,391,0,391
1999,Mali,Mauritania,6110,0,6110
1999,Mali,Nigeria,74,0,74
1999,Mali,Rwanda,77,0,77
1999,Mali,Sierra Leone,1311,0,1311
1999,Mali,Chad,37,2,39
1999,Mali,Togo,46,0,46
1999,Mali,Various/Unknown,85,1,86
1999,Malta,Algeria,28,0,28
1999,Malta,Iraq,50,0,50
1999,Malta,Latvia,4,0,4
1999,Malta,Morocco,2,0,2
1999,Malta,Palestinian,38,0,38
1999,Malta,Sudan,10,0,10
1999,Malta,Sierra Leone,15,0,15
1999,Malta,Somalia,6,0,6
1999,Malta,Serbia and Kosovo (S/RES/1244 (1999)),98,109,207
1999,Malta,Slovenia,3,0,3
1999,Malta,Syrian Arab Rep.,1,0,1
1999,Malta,Tunisia,7,0,7
1999,Malta,Turkey,9,0,9
1999,Mozambique,Burundi,71,7,78
1999,Mozambique,Dem. Rep. of the Congo,33,0,33
1999,Mozambique,Rwanda,106,0,106
1999,Mozambique,Sudan,1,0,1
1999,Mozambique,Somalia,9,0,9
1999,Mauritania,Congo,2,0,2
1999,Mauritania,Western Sahara,0,0,26416
1999,Mauritania,Mali,0,0,3500
1999,Mauritania,Sierra Leone,221,0,221
1999,Mauritius,Various/Unknown,43,0,43
1999,Malawi,Burundi,360,0,360
1999,Malawi,Dem. Rep. of the Congo,500,0,500
1999,Malawi,Eritrea,9,0,9
1999,Malawi,Ethiopia,2,0,2
1999,Malawi,Kenya,1,0,1
1999,Malawi,Rwanda,603,0,603
1999,Malawi,Sudan,2,0,2
1999,Malawi,Sierra Leone,1,0,1
1999,Malawi,Somalia,220,0,220
1999,Malawi,Uganda,2,0,2
1999,Malaysia,Afghanistan,53,2,55
1999,Malaysia,Burundi,1,0,1
1999,Malaysia,Indonesia,181,0,181
1999,Malaysia,India,1,0,1
1999,Malaysia,Iran (Islamic Rep. of),4,0,4
1999,Malaysia,Iraq,1,0,1
1999,Malaysia,Liberia,1,0,1
1999,Malaysia,Sri Lanka,1,0,1
1999,Malaysia,Myanmar,5136,0,5136
1999,Malaysia,Nigeria,1,0,1
1999,Malaysia,Philippines,45100,0,45100
1999,Malaysia,Sudan,1,0,1
1999,Malaysia,Somalia,29,0,29
1999,Malaysia,Serbia and Kosovo (S/RES/1244 (1999)),4,0,4
1999,Malaysia,Tunisia,2,0,2
1999,Malaysia,Viet Nam,1,2,3
1999,Namibia,Angola,7612,0,7612
1999,Namibia,Zambia,0,5,5
1999,Niger,Burundi,3,0,3
1999,Niger,Central African Rep.,0,1,1
1999,Niger,Côte d'Ivoire,0,2,2
1999,Niger,Dem. Rep. of the Congo,134,0,134
1999,Niger,Congo,27,2,29
1999,Niger,Algeria,14,0,14
1999,Niger,Ghana,7,0,7
1999,Niger,Guinea-Bissau,1,0,1
1999,Niger,Iran (Islamic Rep. of),5,0,5
1999,Niger,Cambodia,18,0,18
1999,Niger,Liberia,8,0,8
1999,Niger,Mali,0,5000,5000
1999,Niger,Mauritania,1,1,2
1999,Niger,Rwanda,38,0,38
1999,Niger,Sudan,11,20,31
1999,Niger,Sierra Leone,12,0,12
1999,Niger,Somalia,10,26,36
1999,Niger,Chad,50,1168,1218
1999,Niger,Togo,11,0,11
1999,Nigeria,Angola,13,0,13
1999,Nigeria,Benin,23,0,23
1999,Nigeria,Cameroon,4,0,4
1999,Nigeria,Dem. Rep. of the Congo,70,0,70
1999,Nigeria,Liberia,1569,135,1704
1999,Nigeria,Sudan,74,0,74
1999,Nigeria,Sierra Leone,1702,0,1702
1999,Nigeria,Chad,3194,0,3194
1999,Nigeria,Various/Unknown,292,0,292
1999,Nicaragua,Cuba,6,0,6
1999,Nicaragua,Guatemala,17,0,17
1999,Nicaragua,Honduras,2,0,2
1999,Nicaragua,Liberia,9,0,9
1999,Nicaragua,El Salvador,434,0,434
1999,Nicaragua,Various/Unknown,3,0,3
1999,Netherlands,Afghanistan,20256,0,20256
1999,Netherlands,Angola,1595,0,1595
1999,Netherlands,Albania,164,0,164
1999,Netherlands,Argentina,5,0,5
1999,Netherlands,Armenia,795,0,795
1999,Netherlands,Azerbaijan,624,0,624
1999,Netherlands,Burundi,230,0,230
1999,Netherlands,Benin,1,0,1
1999,Netherlands,Burkina Faso,8,0,8
1999,Netherlands,Bangladesh,77,0,77
1999,Netherlands,Bulgaria,77,0,77
1999,Netherlands,Bosnia and Herzegovina,23969,194,24163
1999,Netherlands,Belarus,10,0,10
1999,Netherlands,Bhutan,14,0,14
1999,Netherlands,Central African Rep.,1,0,1
1999,Netherlands,Switzerland,1,0,1
1999,Netherlands,Chile,47,0,47
1999,Netherlands,China,2157,0,2157
1999,Netherlands,Côte d'Ivoire,14,0,14
1999,Netherlands,Cameroon,28,0,28
1999,Netherlands,Dem. Rep. of the Congo,1725,0,1725
1999,Netherlands,Congo,69,0,69
1999,Netherlands,Colombia,17,0,17
1999,Netherlands,Cuba,7,0,7
1999,Netherlands,Czech Rep.,39,0,39
1999,Netherlands,Djibouti,3,0,3
1999,Netherlands,Algeria,290,0,290
1999,Netherlands,Ecuador,2,0,2
1999,Netherlands,Egypt,78,0,78
1999,Netherlands,Eritrea,93,0,93
1999,Netherlands,Estonia,9,0,9
1999,Netherlands,Ethiopia,1976,0,1976
1999,Netherlands,France,1,0,1
1999,Netherlands,United Kingdom,2,0,2
1999,Netherlands,Georgia,588,0,588
1999,Netherlands,Ghana,85,0,85
1999,Netherlands,Guinea,259,0,259
1999,Netherlands,Gambia,7,0,7
1999,Netherlands,Guinea-Bissau,15,0,15
1999,Netherlands,Equatorial Guinea,2,0,2
1999,Netherlands,French Guiana,5,0,5
1999,Netherlands,"China, Hong Kong SAR",1,0,1
1999,Netherlands,Croatia,1267,0,1267
1999,Netherlands,Haiti,4,0,4
1999,Netherlands,Hungary,23,0,23
1999,Netherlands,Indonesia,45,0,45
1999,Netherlands,India,29,0,29
1999,Netherlands,Iran (Islamic Rep. of),10057,0,10057
1999,Netherlands,Iraq,24875,0,24875
1999,Netherlands,Israel,27,0,27
1999,Netherlands,Italy,1,0,1
1999,Netherlands,Jordan,18,0,18
1999,Netherlands,Kazakhstan,43,0,43
1999,Netherlands,Kenya,14,0,14
1999,Netherlands,Cambodia,16,0,16
1999,Netherlands,Rep. of Korea,1,0,1
1999,Netherlands,Kuwait,12,0,12
1999,Netherlands,Lebanon,360,0,360
1999,Netherlands,Liberia,1040,0,1040
1999,Netherlands,Libya,30,0,30
1999,Netherlands,Sri Lanka,2098,0,2098
1999,Netherlands,Lithuania,16,0,16
1999,Netherlands,Latvia,10,0,10
1999,Netherlands,Morocco,33,0,33
1999,Netherlands,Rep. of Moldova,21,0,21
1999,Netherlands,The former Yugoslav Republic of Macedonia,71,0,71
1999,Netherlands,Mali,10,0,10
1999,Netherlands,Myanmar,40,0,40
1999,Netherlands,Mongolia,5,0,5
1999,Netherlands,Mozambique,1,0,1
1999,Netherlands,Mauritania,150,0,150
1999,Netherlands,Mauritius,2,0,2
1999,Netherlands,Malawi,3,0,3
1999,Netherlands,Malaysia,1,0,1
1999,Netherlands,Niger,13,0,13
1999,Netherlands,Nigeria,109,0,109
1999,Netherlands,Nicaragua,5,0,5
1999,Netherlands,Nepal,2,0,2
1999,Netherlands,Pakistan,193,0,193
1999,Netherlands,Panama,5,0,5
1999,Netherlands,Peru,42,0,42
1999,Netherlands,Philippines,7,0,7
1999,Netherlands,Papua New Guinea,6,0,6
1999,Netherlands,Poland,88,0,88
1999,Netherlands,Paraguay,4,0,4
1999,Netherlands,Palestinian,8,0,8
1999,Netherlands,Romania,247,0,247
1999,Netherlands,Russian Federation,1334,0,1334
1999,Netherlands,Rwanda,509,0,509
1999,Netherlands,Sudan,2358,0,2358
1999,Netherlands,Senegal,5,0,5
1999,Netherlands,Singapore,1,0,1
1999,Netherlands,Solomon Islands,34,0,34
1999,Netherlands,Sierra Leone,570,0,570
1999,Netherlands,El Salvador,3,0,3
1999,Netherlands,Somalia,18589,0,18589
1999,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),7038,2687,9725
1999,Netherlands,Suriname,366,0,366
1999,Netherlands,Slovakia,47,0,47
1999,Netherlands,Syrian Arab Rep.,1654,0,1654
1999,Netherlands,Chad,4,0,4
1999,Netherlands,Togo,161,0,161
1999,Netherlands,Thailand,2,0,2
1999,Netherlands,Tajikistan,32,0,32
1999,Netherlands,Turkmenistan,7,0,7
1999,Netherlands,Tunisia,59,0,59
1999,Netherlands,Turkey,2045,0,2045
1999,Netherlands,Tuvalu,3,0,3
1999,Netherlands,United Rep. of Tanzania,13,0,13
1999,Netherlands,Uganda,35,0,35
1999,Netherlands,Ukraine,394,0,394
1999,Netherlands,United States of America,5,0,5
1999,Netherlands,Uzbekistan,22,0,22
1999,Netherlands,Venezuela (Bolivarian Republic of),1,0,1
1999,Netherlands,Viet Nam,1536,0,1536
1999,Netherlands,Stateless,614,0,614
